date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-01,1.0,0.0,0.0,1.0,,,
2020-03-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,4.0,0.0,0.0,4.0,3.0,0.0,0.0
2020-03-13,8.0,0.0,0.0,8.0,4.0,0.0,0.0
2020-03-14,18.0,0.0,0.0,18.0,10.0,0.0,0.0
2020-03-15,26.0,0.0,0.0,26.0,8.0,0.0,0.0
2020-03-16,52.0,0.0,0.0,52.0,26.0,0.0,0.0
2020-03-17,78.0,0.0,1.0,77.0,26.0,0.0,1.0
2020-03-18,84.0,0.0,1.0,83.0,6.0,0.0,0.0
2020-03-19,115.0,0.0,1.0,114.0,31.0,0.0,0.0
2020-03-20,136.0,0.0,1.0,135.0,21.0,0.0,0.0
2020-03-21,160.0,0.0,1.0,159.0,24.0,0.0,0.0
2020-03-22,194.0,0.0,2.0,192.0,34.0,0.0,1.0
2020-03-23,235.0,0.0,2.0,233.0,41.0,0.0,0.0
2020-03-24,249.0,0.0,14.0,235.0,14.0,0.0,12.0
2020-03-25,265.0,0.0,16.0,249.0,16.0,0.0,2.0
2020-03-26,290.0,1.0,18.0,271.0,25.0,1.0,2.0
2020-03-27,329.0,1.0,28.0,300.0,39.0,0.0,10.0
2020-03-28,407.0,1.0,30.0,376.0,78.0,0.0,2.0
2020-03-29,424.0,3.0,30.0,391.0,17.0,2.0,0.0
2020-03-30,482.0,3.0,30.0,449.0,58.0,0.0,0.0
2020-03-31,532.0,3.0,30.0,499.0,50.0,0.0,0.0
2020-04-01,571.0,4.0,31.0,536.0,39.0,1.0,1.0
2020-04-02,663.0,7.0,33.0,623.0,92.0,3.0,2.0
2020-04-03,736.0,7.0,43.0,686.0,73.0,0.0,10.0
2020-04-04,770.0,7.0,43.0,720.0,34.0,0.0,0.0
2020-04-05,822.0,7.0,57.0,758.0,52.0,0.0,14.0
2020-04-06,833.0,8.0,62.0,763.0,11.0,1.0,5.0
2020-04-07,853.0,8.0,87.0,758.0,20.0,0.0,25.0
2020-04-08,881.0,9.0,114.0,758.0,28.0,1.0,27.0
2020-04-09,921.0,10.0,138.0,773.0,40.0,1.0,24.0
2020-04-10,937.0,12.0,149.0,776.0,16.0,2.0,11.0
2020-04-11,967.0,13.0,173.0,781.0,30.0,1.0,24.0
2020-04-12,1013.0,13.0,197.0,803.0,46.0,0.0,24.0
2020-04-13,1039.0,14.0,211.0,814.0,26.0,1.0,14.0
2020-04-14,1067.0,16.0,265.0,786.0,28.0,2.0,54.0
2020-04-15,1111.0,17.0,297.0,797.0,44.0,1.0,32.0
2020-04-16,1159.0,18.0,358.0,783.0,48.0,1.0,61.0
2020-04-17,1201.0,19.0,402.0,780.0,42.0,1.0,44.0
2020-04-18,1248.0,20.0,523.0,705.0,47.0,1.0,121.0
2020-04-19,1291.0,20.0,545.0,726.0,43.0,0.0,22.0
2020-04-20,1339.0,22.0,580.0,737.0,48.0,2.0,35.0
2020-04-21,1401.0,24.0,609.0,768.0,62.0,2.0,29.0
2020-04-22,1473.0,24.0,633.0,816.0,72.0,0.0,24.0
2020-04-23,1523.0,24.0,659.0,840.0,50.0,0.0,26.0
2020-04-24,1596.0,27.0,728.0,841.0,73.0,3.0,69.0
2020-04-25,1677.0,28.0,803.0,846.0,81.0,1.0,75.0
2020-04-26,1746.0,28.0,833.0,885.0,69.0,0.0,30.0
2020-04-27,1808.0,29.0,848.0,931.0,62.0,1.0,15.0
2020-04-28,1867.0,30.0,866.0,971.0,59.0,1.0,18.0
2020-04-29,1932.0,30.0,900.0,1002.0,65.0,0.0,34.0
2020-04-30,2066.0,32.0,929.0,1105.0,134.0,2.0,29.0
2020-05-01,2148.0,33.0,977.0,1138.0,82.0,1.0,48.0
2020-05-02,2273.0,33.0,1010.0,1230.0,125.0,0.0,33.0
2020-05-03,2386.0,35.0,1035.0,1316.0,113.0,2.0,25.0
2020-05-04,2507.0,39.0,1071.0,1397.0,121.0,4.0,36.0
2020-05-05,2619.0,40.0,1111.0,1468.0,112.0,1.0,40.0
2020-05-06,2782.0,40.0,1135.0,1607.0,163.0,0.0,24.0
2020-05-07,2884.0,42.0,1185.0,1657.0,102.0,2.0,50.0
2020-05-08,3029.0,43.0,1218.0,1768.0,145.0,1.0,33.0
2020-05-09,3175.0,44.0,1267.0,1864.0,146.0,1.0,49.0
2020-05-10,3313.0,45.0,1325.0,1943.0,138.0,1.0,58.0
2020-05-11,3392.0,46.0,1359.0,1987.0,79.0,1.0,34.0
2020-05-12,3538.0,47.0,1430.0,2061.0,146.0,1.0,71.0
2020-05-13,3718.0,48.0,1500.0,2170.0,180.0,1.0,70.0
2020-05-14,3860.0,49.0,1572.0,2239.0,142.0,1.0,72.0
2020-05-15,4044.0,52.0,1666.0,2326.0,184.0,3.0,94.0
2020-05-16,4283.0,55.0,1791.0,2437.0,239.0,3.0,125.0
2020-05-17,4472.0,60.0,1925.0,2487.0,189.0,5.0,134.0
2020-05-18,4823.0,61.0,2019.0,2743.0,351.0,1.0,94.0
2020-05-19,5041.0,64.0,2164.0,2813.0,218.0,3.0,145.0
2020-05-20,5271.0,67.0,2419.0,2785.0,230.0,3.0,255.0
2020-05-21,5606.0,70.0,2581.0,2955.0,335.0,3.0,162.0
2020-05-22,5928.0,74.0,2874.0,2980.0,322.0,4.0,293.0
2020-05-23,6302.0,77.0,2936.0,3289.0,374.0,3.0,62.0
2020-05-24,6661.0,81.0,3064.0,3516.0,359.0,4.0,128.0
2020-05-25,7113.0,87.0,3145.0,3881.0,452.0,6.0,81.0
2020-05-26,7402.0,91.0,3220.0,4091.0,289.0,4.0,75.0
2020-05-27,7774.0,98.0,3255.0,4421.0,372.0,7.0,35.0
2020-05-28,8216.0,113.0,3287.0,4816.0,442.0,15.0,32.0
