date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-25,2.0,0.0,0.0,2.0,,,
2020-03-26,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-27,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-28,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-29,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-30,8.0,0.0,0.0,8.0,6.0,0.0,0.0
2020-03-31,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-04-01,9.0,0.0,0.0,9.0,1.0,0.0,0.0
2020-04-02,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-03,15.0,0.0,0.0,15.0,6.0,0.0,0.0
2020-04-04,18.0,0.0,0.0,18.0,3.0,0.0,0.0
2020-04-05,18.0,0.0,0.0,18.0,0.0,0.0,0.0
2020-04-06,18.0,0.0,0.0,18.0,0.0,0.0,0.0
2020-04-07,33.0,0.0,0.0,33.0,15.0,0.0,0.0
2020-04-08,33.0,0.0,0.0,33.0,0.0,0.0,0.0
2020-04-09,36.0,0.0,0.0,36.0,3.0,0.0,0.0
2020-04-10,36.0,0.0,0.0,36.0,0.0,0.0,0.0
2020-04-11,38.0,0.0,0.0,38.0,2.0,0.0,0.0
2020-04-12,38.0,0.0,0.0,38.0,0.0,0.0,0.0
2020-04-13,38.0,0.0,0.0,38.0,0.0,0.0,0.0
2020-04-14,38.0,0.0,0.0,38.0,0.0,0.0,0.0
2020-04-15,43.0,0.0,0.0,43.0,5.0,0.0,0.0
2020-04-16,43.0,0.0,0.0,43.0,0.0,0.0,0.0
2020-04-17,43.0,0.0,0.0,43.0,0.0,0.0,0.0
2020-04-18,46.0,0.0,0.0,46.0,3.0,0.0,0.0
2020-04-19,50.0,0.0,3.0,47.0,4.0,0.0,3.0
2020-04-20,50.0,0.0,3.0,47.0,0.0,0.0,0.0
2020-04-21,50.0,0.0,3.0,47.0,0.0,0.0,0.0
2020-04-22,50.0,0.0,3.0,47.0,0.0,0.0,0.0
2020-04-23,50.0,0.0,3.0,47.0,0.0,0.0,0.0
2020-04-24,52.0,0.0,3.0,49.0,2.0,0.0,0.0
2020-04-25,52.0,0.0,3.0,49.0,0.0,0.0,0.0
2020-04-26,53.0,1.0,3.0,49.0,1.0,1.0,0.0
2020-04-27,73.0,1.0,18.0,54.0,20.0,0.0,15.0
2020-04-28,73.0,1.0,18.0,54.0,0.0,0.0,0.0
2020-04-29,205.0,1.0,19.0,185.0,132.0,0.0,1.0
2020-04-30,205.0,1.0,19.0,185.0,0.0,0.0,0.0
2020-05-01,257.0,1.0,19.0,237.0,52.0,0.0,0.0
2020-05-02,257.0,1.0,19.0,237.0,0.0,0.0,0.0
2020-05-03,257.0,1.0,19.0,237.0,0.0,0.0,0.0
2020-05-04,413.0,1.0,19.0,393.0,156.0,0.0,0.0
2020-05-05,413.0,1.0,19.0,393.0,0.0,0.0,0.0
2020-05-06,475.0,2.0,24.0,449.0,62.0,1.0,5.0
