date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-05,2.0,0.0,0.0,2.0,,,
2020-03-06,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-07,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-10,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-03-11,7.0,0.0,0.0,7.0,2.0,0.0,0.0
2020-03-12,11.0,0.0,0.0,11.0,4.0,0.0,0.0
2020-03-13,13.0,0.0,0.0,13.0,2.0,0.0,0.0
2020-03-14,18.0,0.0,0.0,18.0,5.0,0.0,0.0
2020-03-15,24.0,0.0,0.0,24.0,6.0,0.0,0.0
2020-03-16,25.0,0.0,0.0,25.0,1.0,0.0,0.0
2020-03-17,26.0,0.0,2.0,24.0,1.0,0.0,2.0
2020-03-18,38.0,0.0,2.0,36.0,12.0,0.0,0.0
2020-03-19,63.0,0.0,2.0,61.0,25.0,0.0,0.0
2020-03-20,89.0,0.0,2.0,87.0,26.0,0.0,0.0
2020-03-21,93.0,1.0,2.0,90.0,4.0,1.0,0.0
2020-03-22,126.0,1.0,2.0,123.0,33.0,0.0,0.0
2020-03-23,132.0,1.0,2.0,129.0,6.0,0.0,0.0
2020-03-24,166.0,3.0,2.0,161.0,34.0,2.0,0.0
2020-03-25,176.0,3.0,2.0,171.0,10.0,0.0,0.0
2020-03-26,191.0,3.0,2.0,186.0,15.0,0.0,0.0
2020-03-27,237.0,4.0,5.0,228.0,46.0,1.0,3.0
2020-03-28,258.0,5.0,5.0,248.0,21.0,1.0,0.0
2020-03-29,323.0,6.0,8.0,309.0,65.0,1.0,3.0
2020-03-30,368.0,10.0,17.0,341.0,45.0,4.0,9.0
2020-03-31,420.0,13.0,17.0,390.0,52.0,3.0,0.0
2020-04-01,459.0,13.0,19.0,427.0,39.0,0.0,2.0
2020-04-02,533.0,16.0,20.0,497.0,74.0,3.0,1.0
2020-04-03,579.0,17.0,27.0,535.0,46.0,1.0,7.0
2020-04-04,624.0,21.0,30.0,573.0,45.0,4.0,3.0
2020-04-05,654.0,23.0,30.0,601.0,30.0,2.0,0.0
2020-04-06,674.0,29.0,47.0,598.0,20.0,6.0,17.0
2020-04-07,764.0,33.0,68.0,663.0,90.0,4.0,21.0
2020-04-08,804.0,34.0,79.0,691.0,40.0,1.0,11.0
2020-04-09,858.0,35.0,101.0,722.0,54.0,1.0,22.0
2020-04-10,901.0,36.0,129.0,736.0,43.0,1.0,28.0
2020-04-11,946.0,37.0,139.0,770.0,45.0,1.0,10.0
2020-04-12,1009.0,39.0,193.0,777.0,63.0,2.0,54.0
2020-04-13,1037.0,39.0,206.0,792.0,28.0,0.0,13.0
2020-04-14,1083.0,40.0,236.0,807.0,46.0,1.0,30.0
2020-04-15,1110.0,41.0,253.0,816.0,27.0,1.0,17.0
2020-04-16,1167.0,43.0,277.0,847.0,57.0,2.0,24.0
2020-04-17,1214.0,46.0,320.0,848.0,47.0,3.0,43.0
2020-04-18,1268.0,47.0,338.0,883.0,54.0,1.0,18.0
2020-04-19,1285.0,48.0,347.0,890.0,17.0,1.0,9.0
2020-04-20,1309.0,49.0,381.0,879.0,24.0,1.0,34.0
2020-04-21,1342.0,51.0,437.0,854.0,33.0,2.0,56.0
2020-04-22,1368.0,53.0,460.0,855.0,26.0,2.0,23.0
