date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-28,1.0,0.0,0.0,1.0,,,
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-04,6.0,0.0,0.0,6.0,4.0,0.0,0.0
2020-03-05,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-06,18.0,0.0,0.0,18.0,12.0,0.0,0.0
2020-03-07,18.0,0.0,0.0,18.0,0.0,0.0,0.0
2020-03-08,40.0,0.0,0.0,40.0,22.0,0.0,0.0
2020-03-09,21.0,0.0,0.0,21.0,-19.0,0.0,0.0
2020-03-10,34.0,0.0,0.0,34.0,13.0,0.0,0.0
2020-03-11,43.0,1.0,0.0,42.0,9.0,1.0,0.0
2020-03-12,43.0,1.0,0.0,42.0,0.0,0.0,0.0
2020-03-13,90.0,1.0,0.0,89.0,47.0,0.0,0.0
2020-03-14,129.0,2.0,0.0,127.0,39.0,1.0,0.0
2020-03-15,129.0,2.0,0.0,127.0,0.0,0.0,0.0
2020-03-16,169.0,2.0,0.0,167.0,40.0,0.0,0.0
2020-03-17,223.0,2.0,5.0,216.0,54.0,0.0,5.0
2020-03-18,292.0,2.0,5.0,285.0,69.0,0.0,0.0
2020-03-19,557.0,3.0,5.0,549.0,265.0,1.0,0.0
2020-03-20,683.0,3.0,5.0,675.0,126.0,0.0,0.0
2020-03-21,785.0,3.0,5.0,777.0,102.0,0.0,0.0
2020-03-22,906.0,4.0,5.0,897.0,121.0,1.0,0.0
2020-03-23,1125.0,6.0,5.0,1114.0,219.0,2.0,0.0
2020-03-24,1329.0,7.0,5.0,1317.0,204.0,1.0,0.0
2020-03-25,1564.0,9.0,5.0,1550.0,235.0,2.0,0.0
2020-03-26,1819.0,19.0,5.0,1795.0,255.0,10.0,0.0
2020-03-27,2121.0,22.0,5.0,2094.0,302.0,3.0,0.0
2020-03-28,2415.0,36.0,5.0,2374.0,294.0,14.0,0.0
2020-03-29,2615.0,46.0,5.0,2564.0,200.0,10.0,0.0
2020-03-30,2910.0,54.0,5.0,2851.0,295.0,8.0,0.0
2020-03-31,3235.0,71.0,5.0,3159.0,325.0,17.0,0.0
2020-04-01,3447.0,85.0,5.0,3357.0,212.0,14.0,0.0
2020-04-02,3849.0,98.0,5.0,3746.0,402.0,13.0,0.0
2020-04-03,4273.0,120.0,5.0,4148.0,424.0,22.0,0.0
2020-04-04,4604.0,137.0,25.0,4442.0,331.0,17.0,20.0
2020-04-05,4994.0,158.0,25.0,4811.0,390.0,21.0,0.0
2020-04-06,5364.0,174.0,25.0,5165.0,370.0,16.0,0.0
2020-04-07,5709.0,210.0,25.0,5474.0,345.0,36.0,0.0
2020-04-08,6074.0,235.0,25.0,5814.0,365.0,25.0,0.0
2020-04-09,6574.0,263.0,25.0,6286.0,500.0,28.0,0.0
2020-04-10,8089.0,287.0,25.0,7777.0,1515.0,24.0,0.0
2020-04-11,8928.0,320.0,25.0,8583.0,839.0,33.0,0.0
2020-04-12,9655.0,334.0,25.0,9296.0,727.0,14.0,0.0
2020-04-13,10647.0,365.0,25.0,10257.0,992.0,31.0,0.0
2020-04-14,11479.0,406.0,25.0,11048.0,832.0,41.0,0.0
2020-04-15,12547.0,444.0,77.0,12026.0,1068.0,38.0,52.0
2020-04-16,13271.0,486.0,77.0,12708.0,724.0,42.0,0.0
2020-04-17,13980.0,530.0,77.0,13373.0,709.0,44.0,0.0
2020-04-18,14758.0,571.0,77.0,14110.0,778.0,41.0,0.0
2020-04-19,15251.0,610.0,77.0,14564.0,493.0,39.0,0.0
2020-04-20,15652.0,687.0,77.0,14888.0,401.0,77.0,0.0
2020-04-21,16040.0,730.0,9233.0,6077.0,388.0,43.0,9156.0
2020-04-22,16671.0,769.0,9233.0,6669.0,631.0,39.0,0.0
2020-04-23,17607.0,794.0,9233.0,7580.0,936.0,25.0,0.0
2020-04-24,18184.0,1014.0,9233.0,7937.0,577.0,220.0,0.0
2020-04-25,18561.0,1063.0,9233.0,8265.0,377.0,49.0,0.0
2020-04-26,19262.0,1087.0,9233.0,8942.0,701.0,24.0,0.0
2020-04-27,19648.0,1102.0,9233.0,9313.0,386.0,15.0,0.0
2020-04-28,19877.0,1159.0,9233.0,9485.0,229.0,57.0,0.0
2020-04-29,20253.0,1190.0,13386.0,5677.0,376.0,31.0,4153.0
2020-04-30,20612.0,1232.0,13386.0,5994.0,359.0,42.0,0.0
2020-05-01,20833.0,1265.0,13386.0,6182.0,221.0,33.0,0.0
2020-05-02,21176.0,1286.0,13386.0,6504.0,343.0,21.0,0.0
2020-05-03,21506.0,1303.0,13386.0,6817.0,330.0,17.0,0.0
2020-05-04,21772.0,1319.0,13386.0,7067.0,266.0,16.0,0.0
2020-05-05,21983.0,1339.0,13386.0,7258.0,211.0,20.0,0.0
2020-05-06,22248.0,1375.0,17110.0,3763.0,265.0,36.0,3724.0
2020-05-07,22385.0,1403.0,17110.0,3872.0,137.0,28.0,0.0
2020-05-08,22541.0,1429.0,17110.0,4002.0,156.0,26.0,0.0
2020-05-09,22760.0,1446.0,17110.0,4204.0,219.0,17.0,0.0
2020-05-10,22996.0,1458.0,17110.0,4428.0,236.0,12.0,0.0
2020-05-11,23135.0,1467.0,17110.0,4558.0,139.0,9.0,0.0
2020-05-12,23242.0,1488.0,17110.0,4644.0,107.0,21.0,0.0
2020-05-13,23401.0,1497.0,19470.0,2434.0,159.0,9.0,2360.0
2020-05-14,23827.0,1506.0,19470.0,2851.0,426.0,9.0,0.0
2020-05-15,23956.0,1518.0,19470.0,2968.0,129.0,12.0,0.0
2020-05-16,24048.0,1533.0,19470.0,3045.0,92.0,15.0,0.0
2020-05-17,24112.0,1543.0,19470.0,3099.0,64.0,10.0,0.0
