date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-21,1.0,0.0,0.0,1.0,,,
2020-02-22,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-26,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-27,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-28,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-29,4.0,0.0,0.0,4.0,2.0,0.0,0.0
2020-03-01,10.0,0.0,0.0,10.0,6.0,0.0,0.0
2020-03-02,13.0,0.0,0.0,13.0,3.0,0.0,0.0
2020-03-03,13.0,0.0,0.0,13.0,0.0,0.0,0.0
2020-03-04,13.0,0.0,1.0,12.0,0.0,0.0,1.0
2020-03-05,16.0,0.0,1.0,15.0,3.0,0.0,0.0
2020-03-06,22.0,0.0,1.0,21.0,6.0,0.0,0.0
2020-03-07,22.0,0.0,1.0,21.0,0.0,0.0,0.0
2020-03-08,32.0,0.0,1.0,31.0,10.0,0.0,0.0
2020-03-09,32.0,0.0,1.0,31.0,0.0,0.0,0.0
2020-03-10,41.0,1.0,1.0,39.0,9.0,1.0,0.0
2020-03-11,61.0,3.0,1.0,57.0,20.0,2.0,0.0
2020-03-12,61.0,3.0,1.0,57.0,0.0,0.0,0.0
2020-03-13,77.0,3.0,1.0,73.0,16.0,0.0,0.0
2020-03-14,93.0,3.0,1.0,89.0,16.0,0.0,0.0
2020-03-15,110.0,3.0,1.0,106.0,17.0,0.0,0.0
2020-03-16,99.0,3.0,1.0,95.0,-11.0,0.0,0.0
2020-03-17,120.0,3.0,3.0,114.0,21.0,0.0,2.0
2020-03-18,133.0,3.0,3.0,127.0,13.0,0.0,0.0
2020-03-19,157.0,4.0,4.0,149.0,24.0,1.0,1.0
2020-03-20,163.0,4.0,4.0,155.0,6.0,0.0,0.0
2020-03-21,187.0,4.0,4.0,179.0,24.0,0.0,0.0
2020-03-22,248.0,4.0,8.0,236.0,61.0,0.0,4.0
2020-03-23,267.0,4.0,8.0,255.0,19.0,0.0,0.0
2020-03-24,318.0,4.0,8.0,306.0,51.0,0.0,0.0
2020-03-25,333.0,6.0,20.0,307.0,15.0,2.0,12.0
2020-03-26,368.0,6.0,23.0,339.0,35.0,0.0,3.0
2020-03-27,391.0,8.0,27.0,356.0,23.0,2.0,4.0
2020-03-28,412.0,8.0,30.0,374.0,21.0,0.0,3.0
2020-03-29,438.0,10.0,30.0,398.0,26.0,2.0,0.0
2020-03-30,446.0,11.0,35.0,400.0,8.0,1.0,5.0
2020-03-31,470.0,12.0,37.0,421.0,24.0,1.0,2.0
2020-04-01,479.0,14.0,43.0,422.0,9.0,2.0,6.0
2020-04-02,494.0,16.0,46.0,432.0,15.0,2.0,3.0
2020-04-03,508.0,17.0,50.0,441.0,14.0,1.0,4.0
2020-04-04,520.0,17.0,54.0,449.0,12.0,0.0,4.0
2020-04-05,527.0,18.0,54.0,455.0,7.0,1.0,0.0
2020-04-06,541.0,19.0,60.0,462.0,14.0,1.0,6.0
2020-04-07,548.0,19.0,62.0,467.0,7.0,0.0,2.0
2020-04-08,576.0,19.0,62.0,495.0,28.0,0.0,0.0
2020-04-09,582.0,19.0,67.0,496.0,6.0,0.0,5.0
2020-04-10,609.0,20.0,76.0,513.0,27.0,1.0,9.0
2020-04-11,619.0,20.0,77.0,522.0,10.0,0.0,1.0
2020-04-12,630.0,20.0,80.0,530.0,11.0,0.0,3.0
2020-04-13,632.0,20.0,80.0,532.0,2.0,0.0,0.0
2020-04-14,641.0,21.0,80.0,540.0,9.0,1.0,0.0
2020-04-15,658.0,21.0,85.0,552.0,17.0,0.0,5.0
