date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-08,3.0,0.0,0.0,3.0,,,
2020-03-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-12,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-13,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-14,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-15,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-03-16,8.0,0.0,2.0,6.0,3.0,0.0,2.0
2020-03-17,10.0,0.0,3.0,7.0,2.0,0.0,1.0
2020-03-18,14.0,1.0,3.0,10.0,4.0,1.0,0.0
2020-03-19,17.0,1.0,3.0,13.0,3.0,0.0,0.0
2020-03-20,20.0,1.0,3.0,16.0,3.0,0.0,0.0
2020-03-21,25.0,2.0,3.0,20.0,5.0,1.0,0.0
2020-03-22,27.0,2.0,3.0,22.0,2.0,0.0,0.0
2020-03-23,33.0,3.0,5.0,25.0,6.0,1.0,2.0
2020-03-24,39.0,4.0,5.0,30.0,6.0,1.0,0.0
2020-03-25,39.0,5.0,7.0,27.0,0.0,1.0,2.0
2020-03-26,44.0,5.0,11.0,28.0,5.0,0.0,4.0
2020-03-27,48.0,5.0,11.0,32.0,4.0,0.0,0.0
2020-03-28,48.0,5.0,15.0,28.0,0.0,0.0,4.0
2020-03-29,48.0,5.0,15.0,28.0,0.0,0.0,0.0
2020-03-30,49.0,5.0,19.0,25.0,1.0,0.0,4.0
2020-03-31,51.0,5.0,25.0,21.0,2.0,0.0,6.0
2020-04-01,54.0,6.0,25.0,23.0,3.0,1.0,0.0
2020-04-02,56.0,6.0,25.0,25.0,2.0,0.0,0.0
2020-04-03,61.0,6.0,26.0,29.0,5.0,0.0,1.0
2020-04-04,70.0,8.0,30.0,32.0,9.0,2.0,4.0
2020-04-05,88.0,9.0,33.0,46.0,18.0,1.0,3.0
2020-04-06,123.0,12.0,33.0,78.0,35.0,3.0,0.0
2020-04-07,164.0,17.0,33.0,114.0,41.0,5.0,0.0
2020-04-08,218.0,20.0,33.0,165.0,54.0,3.0,0.0
2020-04-09,330.0,21.0,33.0,276.0,112.0,1.0,0.0
2020-04-10,424.0,27.0,33.0,364.0,94.0,6.0,0.0
2020-04-11,482.0,30.0,36.0,416.0,58.0,3.0,3.0
2020-04-12,621.0,34.0,39.0,548.0,139.0,4.0,3.0
2020-04-13,803.0,39.0,42.0,722.0,182.0,5.0,3.0
2020-04-14,1012.0,46.0,42.0,924.0,209.0,7.0,0.0
2020-04-15,1231.0,50.0,49.0,1132.0,219.0,4.0,7.0
2020-04-16,1572.0,60.0,49.0,1463.0,341.0,10.0,0.0
2020-04-17,1838.0,75.0,58.0,1705.0,266.0,15.0,9.0
2020-04-18,2144.0,84.0,66.0,1994.0,306.0,9.0,8.0
2020-04-19,2456.0,91.0,75.0,2290.0,312.0,7.0,9.0
2020-04-20,2948.0,101.0,85.0,2762.0,492.0,10.0,10.0
2020-04-21,3382.0,110.0,87.0,3185.0,434.0,9.0,2.0
2020-04-22,3772.0,120.0,92.0,3560.0,390.0,10.0,5.0
2020-04-23,4186.0,127.0,108.0,3951.0,414.0,7.0,16.0
2020-04-24,4689.0,131.0,112.0,4446.0,503.0,4.0,4.0
2020-04-25,4998.0,140.0,113.0,4745.0,309.0,9.0,1.0
2020-04-26,5416.0,145.0,122.0,5149.0,418.0,5.0,9.0
2020-04-27,5913.0,152.0,131.0,5630.0,497.0,7.0,9.0
2020-04-28,6462.0,155.0,139.0,6168.0,549.0,3.0,8.0
2020-04-29,7103.0,163.0,150.0,6790.0,641.0,8.0,11.0
2020-04-30,7667.0,168.0,160.0,7339.0,564.0,5.0,10.0
2020-05-01,8238.0,170.0,174.0,7894.0,571.0,2.0,14.0
2020-05-02,8790.0,175.0,177.0,8438.0,552.0,5.0,3.0
2020-05-03,9455.0,177.0,1063.0,8215.0,665.0,2.0,886.0
2020-05-04,10143.0,182.0,1209.0,8752.0,688.0,5.0,146.0
2020-05-05,10929.0,183.0,1403.0,9343.0,786.0,1.0,194.0
2020-05-06,11719.0,186.0,1403.0,10130.0,790.0,3.0,0.0
2020-05-07,12425.0,199.0,1910.0,10316.0,706.0,13.0,507.0
2020-05-08,13134.0,206.0,2101.0,10827.0,709.0,7.0,191.0
2020-05-09,13770.0,214.0,2414.0,11142.0,636.0,8.0,313.0
2020-05-10,14657.0,228.0,2650.0,11779.0,887.0,14.0,236.0
2020-05-11,15691.0,239.0,2902.0,12550.0,1034.0,11.0,252.0
2020-05-12,16660.0,250.0,3147.0,13263.0,969.0,11.0,245.0
2020-05-13,17822.0,269.0,3361.0,14192.0,1162.0,19.0,214.0
2020-05-14,18863.0,283.0,3361.0,15219.0,1041.0,14.0,0.0
2020-05-15,20065.0,298.0,3882.0,15885.0,1202.0,15.0,521.0
2020-05-16,20995.0,314.0,4117.0,16564.0,930.0,16.0,235.0
2020-05-17,22268.0,328.0,4373.0,17567.0,1273.0,14.0,256.0
2020-05-18,23870.0,349.0,4585.0,18936.0,1602.0,21.0,212.0
2020-05-19,25121.0,370.0,4993.0,19758.0,1251.0,21.0,408.0
2020-05-20,26738.0,386.0,5207.0,21145.0,1617.0,16.0,214.0
2020-05-21,28511.0,408.0,5602.0,22501.0,1773.0,22.0,395.0
2020-05-22,30205.0,432.0,6190.0,23583.0,1694.0,24.0,588.0
