date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-04,1.0,0.0,0.0,1.0,,,
2020-02-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-17,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-02-18,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-19,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-20,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-21,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-22,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-23,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-24,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-25,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-26,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-27,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-28,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-29,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-01,2.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-03-02,8.0,0.0,1.0,7.0,6.0,0.0,0.0
2020-03-03,13.0,0.0,1.0,12.0,5.0,0.0,0.0
2020-03-04,23.0,0.0,1.0,22.0,10.0,0.0,0.0
2020-03-05,50.0,0.0,1.0,49.0,27.0,0.0,0.0
2020-03-06,109.0,0.0,1.0,108.0,59.0,0.0,0.0
2020-03-07,169.0,0.0,1.0,168.0,60.0,0.0,0.0
2020-03-08,200.0,0.0,1.0,199.0,31.0,0.0,0.0
2020-03-09,239.0,0.0,1.0,238.0,39.0,0.0,0.0
2020-03-10,267.0,0.0,1.0,266.0,28.0,0.0,0.0
2020-03-11,314.0,3.0,1.0,310.0,47.0,3.0,0.0
2020-03-12,314.0,3.0,1.0,310.0,0.0,0.0,0.0
2020-03-13,559.0,3.0,1.0,555.0,245.0,0.0,0.0
2020-03-14,689.0,4.0,1.0,684.0,130.0,1.0,0.0
2020-03-15,886.0,4.0,1.0,881.0,197.0,0.0,0.0
2020-03-16,1058.0,5.0,1.0,1052.0,172.0,1.0,0.0
2020-03-17,1243.0,10.0,1.0,1232.0,185.0,5.0,0.0
2020-03-18,1486.0,14.0,31.0,1441.0,243.0,4.0,30.0
2020-03-19,1795.0,21.0,31.0,1743.0,309.0,7.0,0.0
2020-03-20,2257.0,37.0,1.0,2219.0,462.0,16.0,-30.0
2020-03-21,2815.0,67.0,263.0,2485.0,558.0,30.0,262.0
2020-03-22,3401.0,75.0,263.0,3063.0,586.0,8.0,0.0
2020-03-23,3743.0,88.0,401.0,3254.0,342.0,13.0,138.0
2020-03-24,4269.0,122.0,461.0,3686.0,526.0,34.0,60.0
2020-03-25,4937.0,178.0,547.0,4212.0,668.0,56.0,86.0
2020-03-26,6235.0,220.0,675.0,5340.0,1298.0,42.0,128.0
2020-03-27,7284.0,289.0,858.0,6137.0,1049.0,69.0,183.0
2020-03-28,9134.0,353.0,1063.0,7718.0,1850.0,64.0,205.0
2020-03-29,10836.0,431.0,1359.0,9046.0,1702.0,78.0,296.0
2020-03-30,11899.0,513.0,1527.0,9859.0,1063.0,82.0,168.0
2020-03-31,12775.0,705.0,1696.0,10374.0,876.0,192.0,169.0
2020-04-01,13964.0,828.0,2132.0,11004.0,1189.0,123.0,436.0
2020-04-02,15348.0,1011.0,2495.0,11842.0,1384.0,183.0,363.0
2020-04-03,16770.0,1143.0,2872.0,12755.0,1422.0,132.0,377.0
2020-04-04,18431.0,1283.0,3247.0,13901.0,1661.0,140.0,375.0
2020-04-05,19691.0,1447.0,3751.0,14493.0,1260.0,164.0,504.0
2020-04-06,20814.0,1632.0,3986.0,15196.0,1123.0,185.0,235.0
2020-04-07,22194.0,2035.0,4157.0,16002.0,1380.0,403.0,171.0
2020-04-08,23403.0,2240.0,4681.0,16482.0,1209.0,205.0,524.0
2020-04-09,24983.0,2523.0,5164.0,17296.0,1580.0,283.0,483.0
2020-04-10,26667.0,3019.0,5568.0,18080.0,1684.0,496.0,404.0
2020-04-11,28018.0,3346.0,5986.0,18686.0,1351.0,327.0,418.0
2020-04-12,29647.0,3600.0,6463.0,19584.0,1629.0,254.0,477.0
2020-04-13,30589.0,3903.0,6707.0,19979.0,942.0,303.0,244.0
2020-04-14,31119.0,4157.0,6868.0,20094.0,530.0,254.0,161.0
2020-04-15,33573.0,4440.0,7107.0,22026.0,2454.0,283.0,239.0
2020-04-16,34809.0,4857.0,7562.0,22390.0,1236.0,417.0,455.0
2020-04-17,36138.0,5163.0,7961.0,23014.0,1329.0,306.0,399.0
2020-04-18,37183.0,5453.0,8348.0,23382.0,1045.0,290.0,387.0
2020-04-19,38496.0,5683.0,8757.0,24056.0,1313.0,230.0,409.0
2020-04-20,39983.0,5828.0,8895.0,25260.0,1487.0,145.0,138.0
2020-04-21,40956.0,5998.0,9002.0,25956.0,973.0,170.0,107.0
2020-04-22,41889.0,6262.0,9433.0,26194.0,933.0,264.0,431.0
2020-04-23,42797.0,6490.0,9800.0,26507.0,908.0,228.0,367.0
2020-04-24,44293.0,6679.0,10122.0,27492.0,1496.0,189.0,322.0
2020-04-25,45325.0,6917.0,10417.0,27991.0,1032.0,238.0,295.0
2020-04-26,46134.0,7094.0,10785.0,28255.0,809.0,177.0,368.0
2020-04-27,46687.0,7207.0,10878.0,28602.0,553.0,113.0,93.0
2020-04-28,47334.0,7331.0,10943.0,29060.0,647.0,124.0,65.0
2020-04-29,47859.0,7501.0,11283.0,29075.0,525.0,170.0,340.0
2020-04-30,48519.0,7594.0,11576.0,29349.0,660.0,93.0,293.0
2020-05-01,49032.0,7703.0,11892.0,29437.0,513.0,109.0,316.0
2020-05-02,49517.0,7765.0,12211.0,29541.0,485.0,62.0,319.0
2020-05-03,49906.0,7844.0,12309.0,29753.0,389.0,79.0,98.0
2020-05-04,50267.0,7924.0,12378.0,29965.0,361.0,80.0,69.0
2020-05-05,50509.0,8016.0,12441.0,30052.0,242.0,92.0,63.0
2020-05-06,50781.0,8339.0,12731.0,29711.0,272.0,323.0,290.0
2020-05-07,51420.0,8415.0,12980.0,30025.0,639.0,76.0,249.0
2020-05-08,52011.0,8521.0,13201.0,30289.0,591.0,106.0,221.0
2020-05-09,52596.0,8581.0,13411.0,30604.0,585.0,60.0,210.0
2020-05-10,53081.0,8656.0,13642.0,30783.0,485.0,75.0,231.0
