date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-20,1.0,0.0,0.0,1.0,,,
2020-03-21,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-23,3.0,1.0,0.0,2.0,0.0,1.0,0.0
2020-03-24,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-25,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-26,3.0,1.0,0.0,2.0,0.0,0.0,0.0
2020-03-27,5.0,1.0,0.0,4.0,2.0,0.0,0.0
2020-03-28,7.0,1.0,0.0,6.0,2.0,0.0,0.0
2020-03-29,7.0,1.0,0.0,6.0,0.0,0.0,0.0
2020-03-30,7.0,1.0,0.0,6.0,0.0,0.0,0.0
2020-03-31,8.0,1.0,0.0,7.0,1.0,0.0,0.0
2020-04-01,8.0,1.0,0.0,7.0,0.0,0.0,0.0
2020-04-02,9.0,1.0,0.0,8.0,1.0,0.0,0.0
2020-04-03,9.0,1.0,0.0,8.0,0.0,0.0,0.0
2020-04-04,9.0,1.0,0.0,8.0,0.0,0.0,0.0
2020-04-05,9.0,1.0,0.0,8.0,0.0,0.0,0.0
2020-04-06,10.0,1.0,0.0,9.0,1.0,0.0,0.0
2020-04-07,11.0,2.0,0.0,9.0,1.0,1.0,0.0
2020-04-08,11.0,3.0,0.0,8.0,0.0,1.0,0.0
2020-04-09,11.0,3.0,0.0,8.0,0.0,0.0,0.0
2020-04-10,13.0,3.0,0.0,10.0,2.0,0.0,0.0
2020-04-11,14.0,3.0,0.0,11.0,1.0,0.0,0.0
2020-04-12,14.0,3.0,0.0,11.0,0.0,0.0,0.0
2020-04-13,17.0,3.0,0.0,14.0,3.0,0.0,0.0
2020-04-14,17.0,3.0,0.0,14.0,0.0,0.0,0.0
2020-04-15,23.0,3.0,1.0,19.0,6.0,0.0,1.0
2020-04-16,23.0,3.0,1.0,19.0,0.0,0.0,0.0
2020-04-17,24.0,3.0,2.0,19.0,1.0,0.0,1.0
2020-04-18,25.0,3.0,2.0,20.0,1.0,0.0,0.0
2020-04-19,25.0,3.0,2.0,20.0,0.0,0.0,0.0
2020-04-20,25.0,3.0,2.0,20.0,0.0,0.0,0.0
2020-04-21,28.0,3.0,2.0,23.0,3.0,0.0,0.0
2020-04-22,28.0,4.0,2.0,22.0,0.0,1.0,0.0
2020-04-23,28.0,4.0,2.0,22.0,0.0,0.0,0.0
2020-04-24,29.0,4.0,2.0,23.0,1.0,0.0,0.0
2020-04-25,31.0,4.0,2.0,25.0,2.0,0.0,0.0
2020-04-26,31.0,4.0,2.0,25.0,0.0,0.0,0.0
2020-04-27,32.0,4.0,5.0,23.0,1.0,0.0,3.0
2020-04-28,32.0,4.0,5.0,23.0,0.0,0.0,0.0
2020-04-29,32.0,4.0,5.0,23.0,0.0,0.0,0.0
2020-04-30,40.0,4.0,5.0,31.0,8.0,0.0,0.0
2020-05-01,40.0,4.0,5.0,31.0,0.0,0.0,0.0
2020-05-02,34.0,4.0,5.0,25.0,-6.0,0.0,0.0
2020-05-03,34.0,4.0,5.0,25.0,0.0,0.0,0.0
2020-05-04,34.0,4.0,5.0,25.0,0.0,0.0,0.0
2020-05-05,34.0,4.0,5.0,25.0,0.0,0.0,0.0
2020-05-06,34.0,4.0,5.0,25.0,0.0,0.0,0.0
2020-05-07,34.0,4.0,5.0,25.0,0.0,0.0,0.0
2020-05-08,34.0,4.0,9.0,21.0,0.0,0.0,4.0
2020-05-09,35.0,4.0,9.0,22.0,1.0,0.0,0.0
2020-05-10,36.0,4.0,9.0,23.0,1.0,0.0,0.0
2020-05-11,36.0,4.0,9.0,23.0,0.0,0.0,0.0
2020-05-12,36.0,4.0,9.0,23.0,0.0,0.0,0.0
