date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-26,1.0,0.0,0.0,1.0,,,
2020-02-27,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-07,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-10,7.0,0.0,0.0,7.0,4.0,0.0,0.0
2020-03-11,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-12,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-13,14.0,0.0,1.0,13.0,7.0,0.0,1.0
2020-03-14,14.0,0.0,1.0,13.0,0.0,0.0,0.0
2020-03-15,14.0,0.0,1.0,13.0,0.0,0.0,0.0
2020-03-16,18.0,0.0,1.0,17.0,4.0,0.0,0.0
2020-03-17,26.0,0.0,1.0,25.0,8.0,0.0,0.0
2020-03-18,35.0,0.0,1.0,34.0,9.0,0.0,0.0
2020-03-19,48.0,0.0,1.0,47.0,13.0,0.0,0.0
2020-03-20,67.0,0.0,1.0,66.0,19.0,0.0,0.0
2020-03-21,85.0,0.0,1.0,84.0,18.0,0.0,0.0
2020-03-22,115.0,1.0,1.0,113.0,30.0,1.0,0.0
2020-03-23,136.0,2.0,1.0,133.0,21.0,1.0,0.0
2020-03-24,148.0,2.0,1.0,145.0,12.0,0.0,0.0
2020-03-25,177.0,3.0,1.0,173.0,29.0,1.0,0.0
2020-03-26,201.0,3.0,3.0,195.0,24.0,0.0,2.0
2020-03-27,219.0,3.0,3.0,213.0,18.0,0.0,0.0
2020-03-28,241.0,4.0,3.0,234.0,22.0,1.0,0.0
2020-03-29,259.0,6.0,3.0,250.0,18.0,2.0,0.0
2020-03-30,285.0,7.0,12.0,266.0,26.0,1.0,9.0
2020-03-31,329.0,9.0,12.0,308.0,44.0,2.0,0.0
2020-04-01,354.0,11.0,17.0,326.0,25.0,2.0,5.0
2020-04-02,384.0,11.0,17.0,356.0,30.0,0.0,0.0
2020-04-03,430.0,12.0,20.0,398.0,46.0,1.0,3.0
2020-04-04,483.0,17.0,20.0,446.0,53.0,5.0,0.0
2020-04-05,555.0,18.0,23.0,514.0,72.0,1.0,3.0
2020-04-06,570.0,23.0,30.0,517.0,15.0,5.0,7.0
2020-04-07,599.0,26.0,30.0,543.0,29.0,3.0,0.0
2020-04-08,617.0,29.0,35.0,553.0,18.0,3.0,5.0
2020-04-09,663.0,30.0,37.0,596.0,46.0,1.0,2.0
2020-04-10,711.0,32.0,41.0,638.0,48.0,2.0,4.0
2020-04-11,760.0,34.0,41.0,685.0,49.0,2.0,0.0
2020-04-12,828.0,34.0,41.0,753.0,68.0,0.0,0.0
2020-04-13,854.0,38.0,44.0,772.0,26.0,4.0,3.0
2020-04-14,908.0,44.0,86.0,778.0,54.0,6.0,42.0
2020-04-15,974.0,45.0,98.0,831.0,66.0,1.0,12.0
2020-04-16,1081.0,46.0,121.0,914.0,107.0,1.0,23.0
2020-04-17,1117.0,49.0,139.0,929.0,36.0,3.0,18.0
2020-04-18,1170.0,49.0,164.0,957.0,53.0,0.0,25.0
2020-04-19,1207.0,51.0,179.0,977.0,37.0,2.0,15.0
2020-04-20,1225.0,54.0,200.0,971.0,18.0,3.0,21.0
2020-04-21,1231.0,55.0,224.0,952.0,6.0,1.0,24.0
2020-04-22,1259.0,56.0,272.0,931.0,28.0,1.0,48.0
2020-04-23,1300.0,56.0,301.0,943.0,41.0,0.0,29.0
2020-04-24,1326.0,57.0,337.0,932.0,26.0,1.0,36.0
2020-04-25,1367.0,59.0,374.0,934.0,41.0,2.0,37.0
2020-04-26,1386.0,61.0,500.0,825.0,19.0,2.0,126.0
2020-04-27,1399.0,65.0,553.0,781.0,13.0,4.0,53.0
2020-04-28,1421.0,71.0,589.0,761.0,22.0,6.0,36.0
2020-04-29,1442.0,73.0,627.0,742.0,21.0,2.0,38.0
2020-04-30,1465.0,77.0,738.0,650.0,23.0,4.0,111.0
2020-05-01,1494.0,81.0,807.0,606.0,29.0,4.0,69.0
2020-05-02,1506.0,82.0,852.0,572.0,12.0,1.0,45.0
2020-05-03,1511.0,84.0,945.0,482.0,5.0,2.0,93.0
2020-05-04,1518.0,85.0,992.0,441.0,7.0,1.0,47.0
2020-05-05,1526.0,86.0,1013.0,427.0,8.0,1.0,21.0
2020-05-06,1539.0,88.0,1057.0,394.0,13.0,2.0,44.0
2020-05-07,1572.0,89.0,1079.0,404.0,33.0,1.0,22.0
2020-05-08,1586.0,90.0,1099.0,397.0,14.0,1.0,20.0
2020-05-09,1622.0,91.0,1112.0,419.0,36.0,1.0,13.0
2020-05-10,1642.0,91.0,1136.0,415.0,20.0,0.0,24.0
2020-05-11,1664.0,91.0,1200.0,373.0,22.0,0.0,64.0
2020-05-12,1674.0,92.0,1205.0,377.0,10.0,1.0,5.0
2020-05-13,1694.0,95.0,1229.0,370.0,20.0,3.0,24.0
2020-05-14,1723.0,95.0,1235.0,393.0,29.0,0.0,6.0
2020-05-15,1740.0,97.0,1251.0,392.0,17.0,2.0,16.0
2020-05-16,1762.0,98.0,1267.0,397.0,22.0,1.0,16.0
2020-05-17,1792.0,101.0,1293.0,398.0,30.0,3.0,26.0
2020-05-18,1817.0,104.0,1301.0,412.0,25.0,3.0,8.0
2020-05-19,1839.0,106.0,1351.0,382.0,22.0,2.0,50.0
2020-05-20,1858.0,110.0,1367.0,381.0,19.0,4.0,16.0
2020-05-21,1898.0,111.0,1378.0,409.0,40.0,1.0,11.0
2020-05-22,1921.0,112.0,1387.0,422.0,23.0,1.0,9.0
2020-05-23,1941.0,113.0,1411.0,417.0,20.0,1.0,24.0
2020-05-24,1978.0,113.0,1422.0,443.0,37.0,0.0,11.0
2020-05-25,1999.0,113.0,1439.0,447.0,21.0,0.0,17.0
2020-05-26,2014.0,116.0,1453.0,445.0,15.0,3.0,14.0
2020-05-27,2039.0,119.0,1470.0,450.0,25.0,3.0,17.0
2020-05-28,2077.0,121.0,1486.0,470.0,38.0,2.0,16.0
2020-05-29,2129.0,126.0,1516.0,487.0,52.0,5.0,30.0
2020-05-30,2164.0,131.0,1535.0,498.0,35.0,5.0,19.0
2020-05-31,2226.0,133.0,1552.0,541.0,62.0,2.0,17.0
2020-06-01,2315.0,140.0,1569.0,606.0,89.0,7.0,17.0
2020-06-02,2391.0,141.0,1595.0,655.0,76.0,1.0,26.0
2020-06-03,2492.0,145.0,1605.0,742.0,101.0,4.0,10.0
2020-06-04,2611.0,147.0,1621.0,843.0,119.0,2.0,16.0
2020-06-05,2790.0,149.0,1632.0,1009.0,179.0,2.0,11.0
2020-06-06,2915.0,151.0,1640.0,1124.0,125.0,2.0,8.0
2020-06-07,3025.0,153.0,1646.0,1226.0,110.0,2.0,6.0
2020-06-08,3152.0,156.0,1653.0,1343.0,127.0,3.0,7.0
2020-06-09,3239.0,157.0,1658.0,1424.0,87.0,1.0,5.0
2020-06-10,3364.0,164.0,1664.0,1536.0,125.0,7.0,6.0
2020-06-11,3538.0,169.0,1682.0,1687.0,174.0,5.0,18.0
2020-06-12,3701.0,171.0,1694.0,1836.0,163.0,2.0,12.0
2020-06-13,3895.0,179.0,1705.0,2011.0,194.0,8.0,11.0
2020-06-14,4057.0,188.0,1710.0,2159.0,162.0,9.0,5.0
2020-06-15,4157.0,193.0,1723.0,2241.0,100.0,5.0,13.0
2020-06-16,4299.0,201.0,1757.0,2341.0,142.0,8.0,34.0
2020-06-17,4482.0,210.0,1803.0,2469.0,183.0,9.0,46.0
2020-06-18,4664.0,216.0,1836.0,2612.0,182.0,6.0,33.0
2020-06-19,4820.0,222.0,1863.0,2735.0,156.0,6.0,27.0
2020-06-20,5005.0,233.0,1904.0,2868.0,185.0,11.0,41.0
2020-06-21,5106.0,238.0,1926.0,2942.0,101.0,5.0,22.0
2020-06-22,5196.0,247.0,1974.0,2975.0,90.0,9.0,48.0
2020-06-23,5311.0,251.0,2048.0,3012.0,115.0,4.0,74.0
