date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-06,1.0,0.0,0.0,1.0,,,
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-19,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-20,9.0,0.0,1.0,8.0,8.0,0.0,1.0
2020-03-21,16.0,0.0,1.0,15.0,7.0,0.0,0.0
2020-03-22,16.0,0.0,0.0,16.0,0.0,0.0,-1.0
2020-03-23,18.0,0.0,0.0,18.0,2.0,0.0,0.0
2020-03-24,20.0,0.0,1.0,19.0,2.0,0.0,1.0
2020-03-25,23.0,0.0,1.0,22.0,3.0,0.0,0.0
2020-03-26,23.0,0.0,1.0,22.0,0.0,0.0,0.0
2020-03-27,25.0,1.0,1.0,23.0,2.0,1.0,0.0
2020-03-28,25.0,1.0,1.0,23.0,0.0,0.0,0.0
2020-03-29,25.0,1.0,1.0,23.0,0.0,0.0,0.0
2020-03-30,30.0,1.0,1.0,28.0,5.0,0.0,0.0
2020-03-31,34.0,1.0,10.0,23.0,4.0,0.0,9.0
2020-04-01,36.0,2.0,10.0,24.0,2.0,1.0,0.0
2020-04-02,39.0,2.0,17.0,20.0,3.0,0.0,7.0
2020-04-03,40.0,3.0,17.0,20.0,1.0,1.0,0.0
2020-04-04,41.0,3.0,17.0,21.0,1.0,0.0,0.0
2020-04-05,44.0,3.0,20.0,21.0,3.0,0.0,3.0
2020-04-06,58.0,3.0,23.0,32.0,14.0,0.0,3.0
2020-04-07,65.0,3.0,23.0,39.0,7.0,0.0,0.0
2020-04-08,70.0,3.0,23.0,44.0,5.0,0.0,0.0
2020-04-09,73.0,3.0,24.0,46.0,3.0,0.0,1.0
2020-04-10,76.0,3.0,25.0,48.0,3.0,0.0,1.0
2020-04-11,76.0,3.0,25.0,48.0,0.0,0.0,0.0
2020-04-12,76.0,3.0,29.0,44.0,0.0,0.0,4.0
2020-04-13,77.0,3.0,29.0,45.0,1.0,0.0,0.0
2020-04-14,77.0,3.0,32.0,42.0,0.0,0.0,3.0
2020-04-15,81.0,3.0,35.0,43.0,4.0,0.0,3.0
2020-04-16,81.0,5.0,45.0,31.0,0.0,2.0,10.0
2020-04-17,83.0,5.0,48.0,30.0,2.0,0.0,3.0
2020-04-18,84.0,5.0,49.0,30.0,1.0,0.0,1.0
2020-04-19,84.0,5.0,52.0,27.0,0.0,0.0,3.0
2020-04-20,84.0,6.0,53.0,25.0,0.0,1.0,1.0
2020-04-21,86.0,6.0,56.0,24.0,2.0,0.0,3.0
2020-04-22,88.0,6.0,56.0,26.0,2.0,0.0,0.0
2020-04-23,88.0,6.0,59.0,23.0,0.0,0.0,3.0
2020-04-24,90.0,6.0,59.0,25.0,2.0,0.0,0.0
2020-04-25,96.0,6.0,62.0,28.0,6.0,0.0,3.0
2020-04-26,98.0,6.0,62.0,30.0,2.0,0.0,0.0
2020-04-27,98.0,6.0,62.0,30.0,0.0,0.0,0.0
2020-04-28,99.0,6.0,63.0,30.0,1.0,0.0,1.0
2020-04-29,109.0,7.0,64.0,38.0,10.0,1.0,1.0
2020-04-30,116.0,9.0,65.0,42.0,7.0,2.0,1.0
2020-05-01,123.0,9.0,66.0,48.0,7.0,0.0,1.0
2020-05-02,123.0,9.0,66.0,48.0,0.0,0.0,0.0
2020-05-03,124.0,9.0,67.0,48.0,1.0,0.0,1.0
2020-05-04,126.0,9.0,74.0,43.0,2.0,0.0,7.0
2020-05-05,128.0,9.0,74.0,45.0,2.0,0.0,0.0
2020-05-06,128.0,9.0,77.0,42.0,0.0,0.0,3.0
2020-05-07,135.0,9.0,85.0,41.0,7.0,0.0,8.0
2020-05-08,145.0,10.0,85.0,50.0,10.0,1.0,0.0
2020-05-09,153.0,10.0,87.0,56.0,8.0,0.0,2.0
2020-05-10,174.0,11.0,89.0,74.0,21.0,1.0,2.0
2020-05-11,181.0,11.0,89.0,81.0,7.0,0.0,0.0
2020-05-12,199.0,11.0,92.0,96.0,18.0,0.0,3.0
2020-05-13,219.0,11.0,96.0,112.0,20.0,0.0,4.0
2020-05-14,238.0,11.0,96.0,131.0,19.0,0.0,0.0
2020-05-15,263.0,11.0,96.0,156.0,25.0,0.0,0.0
2020-05-16,298.0,11.0,99.0,188.0,35.0,0.0,3.0
2020-05-17,301.0,11.0,104.0,186.0,3.0,0.0,5.0
2020-05-18,330.0,12.0,106.0,212.0,29.0,1.0,2.0
2020-05-19,338.0,12.0,107.0,219.0,8.0,0.0,1.0
2020-05-20,340.0,12.0,110.0,218.0,2.0,0.0,3.0
2020-05-21,354.0,12.0,118.0,224.0,14.0,0.0,8.0
2020-05-22,363.0,12.0,121.0,230.0,9.0,0.0,3.0
2020-05-23,373.0,12.0,133.0,228.0,10.0,0.0,12.0
2020-05-24,381.0,12.0,141.0,228.0,8.0,0.0,8.0
2020-05-25,386.0,13.0,161.0,212.0,5.0,1.0,20.0
2020-05-26,391.0,13.0,177.0,201.0,5.0,0.0,16.0
2020-05-27,395.0,13.0,183.0,199.0,4.0,0.0,6.0
2020-05-28,422.0,13.0,197.0,212.0,27.0,0.0,14.0
2020-05-29,428.0,13.0,202.0,213.0,6.0,0.0,5.0
2020-05-30,433.0,13.0,206.0,214.0,5.0,0.0,4.0
2020-05-31,442.0,13.0,211.0,218.0,9.0,0.0,5.0
2020-06-01,443.0,13.0,215.0,215.0,1.0,0.0,4.0
2020-06-02,445.0,13.0,230.0,202.0,2.0,0.0,15.0
2020-06-03,452.0,13.0,236.0,203.0,7.0,0.0,6.0
2020-06-04,465.0,13.0,239.0,213.0,13.0,0.0,3.0
2020-06-05,485.0,13.0,240.0,232.0,20.0,0.0,1.0
2020-06-06,487.0,13.0,240.0,234.0,2.0,0.0,0.0
2020-06-07,495.0,13.0,248.0,234.0,8.0,0.0,8.0
2020-06-08,497.0,13.0,251.0,233.0,2.0,0.0,3.0
2020-06-09,501.0,13.0,260.0,228.0,4.0,0.0,9.0
2020-06-10,522.0,13.0,265.0,244.0,21.0,0.0,5.0
2020-06-11,524.0,13.0,271.0,240.0,2.0,0.0,6.0
2020-06-12,525.0,13.0,279.0,233.0,1.0,0.0,8.0
2020-06-13,530.0,13.0,291.0,226.0,5.0,0.0,12.0
2020-06-14,530.0,13.0,291.0,226.0,0.0,0.0,0.0
2020-06-15,531.0,13.0,299.0,219.0,1.0,0.0,8.0
2020-06-16,537.0,13.0,344.0,180.0,6.0,0.0,45.0
2020-06-17,544.0,13.0,353.0,178.0,7.0,0.0,9.0
2020-06-18,547.0,13.0,353.0,181.0,3.0,0.0,0.0
2020-06-19,555.0,13.0,361.0,181.0,8.0,0.0,8.0
2020-06-20,561.0,13.0,366.0,182.0,6.0,0.0,5.0
2020-06-21,569.0,13.0,375.0,181.0,8.0,0.0,9.0
2020-06-22,569.0,13.0,380.0,176.0,0.0,0.0,5.0
2020-06-23,576.0,13.0,384.0,179.0,7.0,0.0,4.0
2020-06-24,583.0,14.0,392.0,177.0,7.0,1.0,8.0
2020-06-25,588.0,14.0,394.0,180.0,5.0,0.0,2.0
2020-06-26,591.0,14.0,395.0,182.0,3.0,0.0,1.0
2020-06-27,615.0,14.0,396.0,205.0,24.0,0.0,1.0
2020-06-28,642.0,14.0,401.0,227.0,27.0,0.0,5.0
2020-06-29,643.0,14.0,401.0,228.0,1.0,0.0,0.0
2020-06-30,650.0,14.0,402.0,234.0,7.0,0.0,1.0
2020-07-01,661.0,14.0,414.0,233.0,11.0,0.0,12.0
