date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-01,1.0,0.0,0.0,1.0,,,
2020-03-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-08,5.0,0.0,0.0,5.0,3.0,0.0,0.0
2020-03-09,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-10,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-11,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-12,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-13,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-14,11.0,0.0,0.0,11.0,6.0,0.0,0.0
2020-03-15,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-16,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-17,21.0,1.0,0.0,20.0,10.0,1.0,0.0
2020-03-18,21.0,1.0,0.0,20.0,0.0,0.0,0.0
2020-03-19,34.0,2.0,0.0,32.0,13.0,1.0,0.0
2020-03-20,72.0,2.0,0.0,70.0,38.0,0.0,0.0
2020-03-21,112.0,2.0,0.0,110.0,40.0,0.0,0.0
2020-03-22,202.0,3.0,0.0,199.0,90.0,1.0,0.0
2020-03-23,245.0,3.0,3.0,239.0,43.0,0.0,3.0
2020-03-24,312.0,6.0,3.0,303.0,67.0,3.0,0.0
2020-03-25,392.0,10.0,3.0,379.0,80.0,4.0,0.0
2020-03-26,488.0,10.0,3.0,475.0,96.0,0.0,0.0
2020-03-27,581.0,20.0,3.0,558.0,93.0,10.0,0.0
2020-03-28,719.0,28.0,3.0,688.0,138.0,8.0,0.0
2020-03-29,859.0,39.0,3.0,817.0,140.0,11.0,0.0
2020-03-30,901.0,42.0,4.0,855.0,42.0,3.0,1.0
2020-03-31,1109.0,51.0,5.0,1053.0,208.0,9.0,1.0
2020-04-01,1284.0,57.0,9.0,1218.0,175.0,6.0,4.0
2020-04-02,1380.0,60.0,16.0,1304.0,96.0,3.0,7.0
2020-04-03,1488.0,68.0,16.0,1404.0,108.0,8.0,0.0
2020-04-04,1488.0,68.0,16.0,1404.0,0.0,0.0,0.0
2020-04-05,1745.0,82.0,17.0,1646.0,257.0,14.0,1.0
2020-04-06,1828.0,86.0,33.0,1709.0,83.0,4.0,16.0
2020-04-07,1956.0,98.0,36.0,1822.0,128.0,12.0,3.0
2020-04-08,2111.0,108.0,50.0,1953.0,155.0,10.0,14.0
2020-04-09,2349.0,118.0,80.0,2151.0,238.0,10.0,30.0
2020-04-10,2620.0,126.0,98.0,2396.0,271.0,8.0,18.0
2020-04-11,2759.0,135.0,108.0,2516.0,139.0,9.0,10.0
2020-04-12,2967.0,173.0,131.0,2663.0,208.0,38.0,23.0
2020-04-13,3167.0,177.0,152.0,2838.0,200.0,4.0,21.0
2020-04-14,3286.0,183.0,162.0,2941.0,119.0,6.0,10.0
2020-04-15,3614.0,189.0,208.0,3217.0,328.0,6.0,46.0
2020-04-16,3755.0,196.0,215.0,3344.0,141.0,7.0,7.0
2020-04-17,4126.0,200.0,268.0,3658.0,371.0,4.0,53.0
2020-04-18,4335.0,217.0,312.0,3806.0,209.0,17.0,44.0
2020-04-19,4680.0,226.0,363.0,4091.0,345.0,9.0,51.0
2020-04-20,4964.0,235.0,416.0,4313.0,284.0,9.0,53.0
2020-04-21,5044.0,245.0,463.0,4336.0,80.0,10.0,47.0
2020-04-22,5300.0,260.0,581.0,4459.0,256.0,15.0,118.0
2020-04-23,5543.0,265.0,581.0,4697.0,243.0,5.0,0.0
2020-04-24,5749.0,267.0,763.0,4719.0,206.0,2.0,182.0
2020-04-25,5926.0,273.0,822.0,4831.0,177.0,6.0,59.0
2020-04-26,6135.0,278.0,910.0,4947.0,209.0,5.0,88.0
2020-04-27,6293.0,282.0,993.0,5018.0,158.0,4.0,83.0
2020-04-28,6416.0,286.0,1165.0,4965.0,123.0,4.0,172.0
2020-04-29,6652.0,293.0,1228.0,5131.0,236.0,7.0,63.0
2020-04-30,6972.0,301.0,1301.0,5370.0,320.0,8.0,73.0
2020-05-01,7288.0,313.0,1387.0,5588.0,316.0,12.0,86.0
2020-05-02,7578.0,326.0,1481.0,5771.0,290.0,13.0,94.0
2020-05-03,7954.0,333.0,1606.0,6015.0,376.0,7.0,125.0
2020-05-04,8235.0,346.0,1771.0,6118.0,281.0,13.0,165.0
2020-05-05,8480.0,354.0,1905.0,6221.0,245.0,8.0,134.0
2020-05-06,8807.0,362.0,1960.0,6485.0,327.0,8.0,55.0
2020-05-07,9095.0,373.0,2064.0,6658.0,288.0,11.0,104.0
2020-05-08,9376.0,380.0,2286.0,6710.0,281.0,7.0,222.0
2020-05-09,9882.0,385.0,2584.0,6913.0,506.0,5.0,298.0
2020-05-10,10347.0,388.0,2763.0,7196.0,465.0,3.0,179.0
2020-05-11,10634.0,393.0,2870.0,7371.0,287.0,5.0,107.0
2020-05-12,10900.0,402.0,3221.0,7277.0,266.0,9.0,351.0
2020-05-13,11196.0,409.0,3221.0,7566.0,296.0,7.0,0.0
2020-05-14,11320.0,422.0,3351.0,7547.0,124.0,13.0,130.0
2020-05-15,11739.0,424.0,3557.0,7758.0,419.0,2.0,206.0
2020-05-16,12110.0,428.0,3726.0,7956.0,371.0,4.0,169.0
2020-05-17,12314.0,428.0,5847.0,6039.0,204.0,0.0,2121.0
2020-05-18,12725.0,434.0,6613.0,5678.0,411.0,6.0,766.0
2020-05-19,13223.0,441.0,6613.0,6169.0,498.0,7.0,0.0
2020-05-20,13477.0,446.0,7142.0,5889.0,254.0,5.0,529.0
2020-05-21,13657.0,448.0,7366.0,5843.0,180.0,2.0,224.0
2020-05-22,13989.0,456.0,7572.0,5961.0,332.0,8.0,206.0
2020-05-23,14422.0,458.0,7854.0,6110.0,433.0,2.0,282.0
2020-05-24,14801.0,458.0,8133.0,6210.0,379.0,0.0,279.0
2020-05-25,15073.0,460.0,8285.0,6328.0,272.0,2.0,152.0
2020-05-26,15264.0,468.0,8534.0,6262.0,191.0,8.0,249.0
2020-05-27,15723.0,474.0,8790.0,6459.0,459.0,6.0,256.0
